amount,avg_user_amount,amount_deviation,tx_velocity,tx_history,new_beneficiary,device,location,is_anomaly
36.5,28.08,8.42,4,77,0,trusted_device,same_city,0
80.24,69.53,10.71,2,1171,0,trusted_device,same_city,0
3142.46,701.41,2441.05,18,786,1,emulated_device,different_city,1
511.29,451.8,59.5,2,1180,0,trusted_device,same_city,0
62.43,89.03,-26.6,1,38,0,trusted_device,same_city,0
66.64,67.76,-1.13,11,2794,0,trusted_device,same_city,0
210.84,135.18,75.66,6,241,0,trusted_device,same_city,0
87.22,125.41,-38.19,0,460,0,new_device,same_city,0
29.6,47.07,-17.47,6,2367,0,trusted_device,same_city,0
63.49,61.09,2.4,5,2390,0,trusted_device,same_city,0
247.0,302.29,-55.29,1,969,0,trusted_device,same_city,0
183.68,187.13,-3.44,3,367,0,trusted_device,same_city,0
291.72,281.29,10.43,4,329,0,trusted_device,same_city,0
58.92,70.81,-11.89,0,1344,0,trusted_device,different_city,0
225.15,182.05,43.09,2,67,0,trusted_device,different_city,0
34.11,35.64,-1.53,13,1203,0,trusted_device,same_city,0
270.6,332.35,-61.75,6,785,0,trusted_device,different_city,0
84.14,93.88,-9.74,0,309,0,trusted_device,same_city,0
141.89,117.98,23.91,5,589,0,trusted_device,same_city,0
192.73,167.89,24.84,3,1217,0,trusted_device,same_city,0
97.78,87.56,10.22,6,1813,1,trusted_device,same_city,0
225.99,165.1,60.89,0,380,0,trusted_device,same_city,0
71.14,88.82,-17.68,17,2338,0,trusted_device,same_city,0
54.22,57.21,-2.99,1,43,0,new_device,same_city,0
67.12,67.43,-0.31,14,2820,0,trusted_device,same_city,0
556.01,84.37,471.64,35,257,1,trusted_device,different_city,1
89.49,97.13,-7.65,0,148,0,new_device,same_city,0
70.91,82.83,-11.92,9,2374,0,trusted_device,same_city,0
30.14,43.46,-13.32,4,48,1,trusted_device,same_city,0
58.26,71.04,-12.78,14,2767,0,trusted_device,same_city,0
76.58,73.92,2.66,3,169,0,emulated_device,same_city,0
101.45,96.02,5.43,0,488,0,trusted_device,same_city,0
40.78,44.44,-3.66,6,1291,0,trusted_device,same_city,0
36.62,41.14,-4.52,7,827,0,trusted_device,same_city,0
96.37,83.27,13.1,15,1069,0,trusted_device,same_city,0
336.84,280.27,56.57,2,253,1,trusted_device,same_city,0
508.6,69.37,439.23,40,1210,1,trusted_device,same_city,1
167.43,253.84,-86.41,1,410,0,trusted_device,same_city,0
46.32,46.18,0.14,3,118,0,trusted_device,same_city,0
514.37,487.1,27.27,2,1017,0,trusted_device,different_city,0
417.82,61.11,356.71,80,2409,1,trusted_device,different_city,1
78.7,75.76,2.94,4,1135,0,new_device,same_city,0
28.87,32.33,-3.45,4,53,0,trusted_device,different_city,0
76.53,106.31,-29.78,2,478,1,trusted_device,same_city,0
67.37,69.82,-2.45,18,1009,0,trusted_device,same_city,0
449.98,460.13,-10.15,2,1161,0,trusted_device,same_city,0
212.75,189.52,23.23,2,373,0,trusted_device,same_city,0
86.21,85.4,0.81,16,890,1,trusted_device,different_city,0
70.96,61.61,9.35,0,86,0,trusted_device,same_city,0
167.31,124.69,42.62,2,77,1,new_device,same_city,0
62.82,76.17,-13.35,2,39,0,trusted_device,same_city,0
158.64,159.64,-1.0,3,421,0,trusted_device,same_city,0
93.29,93.9,-0.61,5,672,0,trusted_device,same_city,0
145.24,147.95,-2.71,1,399,0,emulated_device,different_city,0
172.84,130.37,42.47,3,56,1,trusted_device,same_city,0
123.91,137.07,-13.16,6,240,0,trusted_device,different_city,0
187.35,175.36,11.99,0,622,1,trusted_device,same_city,0
31.22,37.22,-6.0,6,75,0,trusted_device,same_city,0
47.13,45.6,1.53,7,1746,0,trusted_device,same_city,0
254.35,261.07,-6.72,0,296,1,trusted_device,same_city,0
85.75,89.9,-4.15,15,1793,0,trusted_device,same_city,0
71.0,65.03,5.97,0,40,1,new_device,same_city,0
39.31,44.6,-5.29,2,32,1,trusted_device,same_city,0
438.0,66.68,371.32,38,107,1,trusted_device,different_city,1
87.07,107.87,-20.8,6,1248,0,trusted_device,same_city,0
62.48,68.85,-6.37,5,45,0,trusted_device,different_city,0
38.62,39.84,-1.22,14,2731,0,trusted_device,same_city,0
69.83,77.1,-7.26,8,2030,0,trusted_device,same_city,0
73.53,92.89,-19.36,1,61,0,new_device,same_city,0
69.96,64.76,5.2,3,1235,0,trusted_device,same_city,0
125.61,108.57,17.04,0,159,0,emulated_device,same_city,0
123.91,125.04,-1.13,0,283,0,trusted_device,same_city,0
81.27,75.54,5.73,8,2027,0,trusted_device,same_city,0
228.82,220.5,8.32,3,949,1,new_device,same_city,0
214.67,181.26,33.41,0,494,0,trusted_device,different_city,0
40.71,49.21,-8.5,2,32,1,trusted_device,same_city,0
367.4,428.35,-60.95,0,224,0,trusted_device,same_city,0
191.34,129.72,61.61,0,296,0,trusted_device,same_city,0
458.37,455.23,3.14,3,1162,0,new_device,same_city,0
56.62,63.54,-6.92,3,96,1,trusted_device,same_city,0
55.26,66.88,-11.62,2,81,0,trusted_device,same_city,0
242.8,188.21,54.59,1,597,0,new_device,same_city,0
48.95,50.65,-1.71,0,27,0,trusted_device,same_city,0
120.04,68.87,51.18,0,17,0,trusted_device,same_city,0
379.11,288.91,90.2,0,349,1,trusted_device,same_city,0
43.93,46.15,-2.23,1,68,0,trusted_device,same_city,0
32.8,59.4,-26.6,2,49,0,trusted_device,same_city,0
115.7,123.66,-7.96,2,77,0,emulated_device,same_city,0
16.84,13.71,3.14,2,39,0,trusted_device,same_city,0
71.89,69.44,2.44,6,492,0,new_device,different_city,0
96.04,83.74,12.3,3,682,0,trusted_device,same_city,0
65.7,56.8,8.9,8,2755,0,trusted_device,same_city,0
43.78,54.24,-10.46,12,1744,0,new_device,same_city,0
94.67,129.3,-34.63,4,1050,0,trusted_device,same_city,0
231.94,210.26,21.67,3,571,0,trusted_device,same_city,0
274.94,236.32,38.62,2,647,0,trusted_device,same_city,0
37.49,37.45,0.04,0,86,1,trusted_device,same_city,0
64.42,69.94,-5.52,0,288,0,trusted_device,same_city,0
151.0,136.67,14.33,0,321,0,trusted_device,different_city,0
522.5,107.52,414.98,86,1577,1,new_device,same_city,1
86.12,77.02,9.11,2,17,0,trusted_device,same_city,0
444.67,408.51,36.17,3,1072,0,trusted_device,same_city,0
49.8,70.72,-20.91,1,46,0,trusted_device,same_city,0
252.79,257.15,-4.36,2,777,0,trusted_device,same_city,0
83.74,102.66,-18.92,4,85,0,trusted_device,same_city,0
101.67,104.54,-2.87,7,1241,0,trusted_device,same_city,0
166.84,178.61,-11.76,0,618,0,trusted_device,same_city,0
52.93,54.68,-1.75,9,1273,0,trusted_device,same_city,0
24.75,32.56,-7.81,2,25,1,trusted_device,same_city,0
240.84,233.43,7.41,2,641,0,trusted_device,same_city,0
17.03,20.2,-3.17,0,82,0,trusted_device,same_city,0
75.28,69.21,6.07,8,1221,0,trusted_device,same_city,0
83.82,87.62,-3.8,6,40,0,new_device,same_city,0
61.95,78.42,-16.47,9,2206,0,trusted_device,same_city,0
877.73,92.45,785.28,25,1537,1,new_device,different_city,1
82.63,105.98,-23.35,4,58,1,trusted_device,same_city,0
152.21,196.12,-43.91,1,256,0,new_device,same_city,0
39.09,49.35,-10.26,1,349,0,trusted_device,same_city,0
57.59,52.73,4.86,0,30,0,new_device,different_city,0
154.88,145.87,9.01,3,303,0,new_device,different_city,0
97.79,89.39,8.4,0,68,0,trusted_device,same_city,0
48.98,53.82,-4.84,0,179,1,trusted_device,same_city,0
137.04,151.52,-14.48,3,422,0,trusted_device,same_city,0
30.95,38.07,-7.12,9,2352,0,trusted_device,same_city,0
59.94,52.08,7.86,1,82,1,trusted_device,same_city,0
151.78,120.26,31.52,5,103,0,new_device,same_city,0
59.96,57.45,2.51,12,2345,0,trusted_device,same_city,0
130.15,137.24,-7.09,0,176,0,trusted_device,same_city,0
52.3,40.46,11.84,15,2707,0,trusted_device,same_city,0
448.41,538.32,-89.91,5,651,0,trusted_device,same_city,0
70.07,50.92,19.15,3,195,0,trusted_device,same_city,0
60.19,68.94,-8.75,7,704,0,trusted_device,different_city,0
58.61,67.92,-9.31,18,1266,0,trusted_device,same_city,0
83.2,77.68,5.52,17,1653,0,trusted_device,different_city,0
1178.53,204.12,974.41,40,700,0,emulated_device,different_city,1
139.74,120.05,19.7,9,1964,0,trusted_device,same_city,0
429.77,371.09,58.68,3,593,0,trusted_device,same_city,0
50.85,54.44,-3.59,9,2047,0,trusted_device,same_city,0
230.7,294.38,-63.68,4,394,0,trusted_device,same_city,0
52.54,78.59,-26.06,15,2116,0,trusted_device,different_city,0
64.48,60.19,4.28,15,2416,0,trusted_device,same_city,0
53.92,78.4,-24.48,3,1205,0,new_device,same_city,0
74.05,81.61,-7.55,3,261,0,new_device,same_city,0
502.19,443.72,58.47,2,1160,0,trusted_device,different_city,0
60.66,69.2,-8.54,1,15,0,new_device,different_city,0
426.25,74.98,351.27,60,2094,1,trusted_device,same_city,1
53.54,45.83,7.71,3,1200,0,trusted_device,same_city,0
83.56,76.54,7.02,8,1290,0,trusted_device,same_city,0
89.36,80.02,9.34,9,220,0,trusted_device,same_city,0
116.13,109.04,7.09,2,491,0,trusted_device,different_city,0
109.86,192.07,-82.21,3,45,0,trusted_device,same_city,0
145.47,113.49,31.98,5,79,0,trusted_device,same_city,0
72.04,75.01,-2.97,1,1333,1,new_device,same_city,0
38.88,69.47,-30.6,0,90,0,trusted_device,same_city,0
183.68,176.86,6.82,2,493,0,trusted_device,same_city,0
56.82,54.16,2.66,9,2055,0,trusted_device,same_city,0
272.93,47.91,225.02,36,2,1,new_device,different_city,1
80.25,69.58,10.67,0,90,0,trusted_device,same_city,0
49.43,48.41,1.02,0,7,0,trusted_device,same_city,0
113.83,89.24,24.59,2,52,1,trusted_device,different_city,0
32.45,49.07,-16.62,1,7,0,trusted_device,same_city,0
446.59,385.09,61.5,0,901,0,trusted_device,same_city,0
309.59,293.27,16.32,3,1293,0,trusted_device,same_city,0
55.37,60.01,-4.64,7,589,0,trusted_device,same_city,0
67.83,77.97,-10.13,13,1966,0,trusted_device,same_city,0
190.07,171.08,18.98,8,1487,0,trusted_device,same_city,0
57.46,56.02,1.44,10,1272,0,trusted_device,same_city,0
200.21,237.53,-37.32,0,332,0,trusted_device,same_city,0
70.73,68.56,2.17,7,558,0,trusted_device,same_city,0
245.57,283.08,-37.51,0,940,0,trusted_device,same_city,0
59.87,58.76,1.11,3,25,1,trusted_device,same_city,0
86.28,136.53,-50.26,1,1052,0,trusted_device,same_city,0
132.46,128.83,3.63,11,2558,0,trusted_device,same_city,0
45.97,64.18,-18.21,5,1393,0,trusted_device,different_city,0
102.54,103.18,-0.64,0,492,0,trusted_device,same_city,0
97.47,106.92,-9.45,0,199,0,trusted_device,different_city,0
44.69,27.66,17.02,2,29,0,trusted_device,different_city,0
682.88,167.88,515.0,45,2022,0,trusted_device,different_city,1
73.44,46.73,26.71,1,113,0,trusted_device,same_city,0
83.13,105.8,-22.67,0,279,0,trusted_device,same_city,0
33.44,34.6,-1.15,3,52,1,trusted_device,same_city,0
275.69,251.75,23.94,4,913,0,trusted_device,same_city,0
63.06,72.73,-9.67,2,26,1,trusted_device,same_city,0
654.96,83.39,571.57,25,2116,1,emulated_device,different_city,1
44.39,33.91,10.48,3,31,0,trusted_device,same_city,0
198.17,228.09,-29.92,1,960,1,trusted_device,same_city,0
146.94,146.13,0.82,1,409,0,trusted_device,same_city,0
75.97,107.54,-31.57,3,62,0,trusted_device,same_city,0
186.73,190.84,-4.1,0,491,0,trusted_device,same_city,0
113.62,135.82,-22.21,1,210,0,trusted_device,same_city,0
685.46,470.12,215.35,4,657,0,new_device,same_city,0
59.04,56.64,2.4,14,1162,0,trusted_device,same_city,0
89.57,87.25,2.32,12,2924,0,new_device,same_city,0
47.99,42.82,5.17,4,902,0,trusted_device,different_city,0
398.43,387.11,11.33,0,1282,0,trusted_device,same_city,0
104.13,91.56,12.57,12,2309,0,trusted_device,same_city,0
70.93,74.67,-3.74,13,808,0,trusted_device,same_city,0
31.04,28.94,2.09,1,169,0,trusted_device,same_city,0
93.06,77.15,15.92,3,3,0,trusted_device,same_city,0
59.52,84.59,-25.06,16,2337,0,trusted_device,same_city,0
71.99,86.78,-14.8,0,371,1,trusted_device,same_city,0
575.53,87.94,487.59,92,1626,1,trusted_device,same_city,1
69.98,66.44,3.53,0,276,0,trusted_device,same_city,0
319.31,274.81,44.5,2,1132,0,trusted_device,same_city,0
171.47,124.85,46.62,7,473,1,trusted_device,same_city,0
167.53,167.97,-0.44,2,1232,0,trusted_device,different_city,0
76.12,85.05,-8.92,0,368,0,trusted_device,same_city,0
78.34,106.09,-27.75,0,168,0,trusted_device,same_city,0
95.6,74.38,21.22,17,1638,0,trusted_device,same_city,0
49.36,52.68,-3.32,8,1017,0,trusted_device,same_city,0
90.13,79.09,11.04,0,249,1,trusted_device,same_city,0
60.1,77.78,-17.67,3,1256,0,trusted_device,same_city,0
279.92,283.14,-3.22,2,854,0,trusted_device,same_city,0
89.05,94.53,-5.49,1,77,0,trusted_device,same_city,0
67.67,67.03,0.64,3,710,0,trusted_device,different_city,0
97.09,118.35,-21.26,7,249,0,trusted_device,same_city,0
377.68,47.96,329.72,18,24,0,new_device,different_city,1
82.77,69.39,13.38,2,28,0,trusted_device,same_city,0
332.44,326.17,6.27,2,982,0,trusted_device,same_city,0
188.38,275.95,-87.57,0,424,0,trusted_device,same_city,0
143.06,124.41,18.65,2,67,0,trusted_device,same_city,0
117.29,118.71,-1.42,1,424,0,new_device,same_city,0
426.74,357.38,69.36,5,784,0,trusted_device,same_city,0
61.3,65.7,-4.4,19,1001,0,trusted_device,same_city,0
139.99,97.44,42.55,0,304,0,trusted_device,different_city,0
107.56,99.63,7.93,17,815,0,trusted_device,same_city,0
82.75,85.12,-2.38,3,53,1,trusted_device,same_city,0
39.84,53.98,-14.14,1,20,0,trusted_device,same_city,0
390.11,333.83,56.28,1,1036,1,trusted_device,same_city,0
6.26,20.52,-14.26,1,77,0,trusted_device,same_city,0
122.45,88.7,33.75,2,278,1,new_device,same_city,0
24.94,27.56,-2.62,3,64,0,emulated_device,same_city,0
248.97,247.71,1.26,1,856,0,trusted_device,same_city,0
30.68,60.49,-29.82,0,48,0,trusted_device,different_city,0
108.96,128.14,-19.18,5,118,0,trusted_device,same_city,0
146.62,160.86,-14.24,3,416,0,trusted_device,same_city,0
82.58,96.59,-14.01,17,2504,0,trusted_device,same_city,0
163.49,136.23,27.26,0,198,0,new_device,same_city,0
51.05,54.32,-3.27,13,1749,1,trusted_device,same_city,0
248.74,248.73,0.01,1,1162,0,trusted_device,same_city,0
184.36,137.78,46.58,1,1193,1,trusted_device,different_city,0
71.37,69.13,2.24,3,284,0,trusted_device,same_city,0
52.55,68.35,-15.79,4,438,0,trusted_device,same_city,0
192.48,166.73,25.76,0,315,0,new_device,same_city,0
116.81,149.2,-32.38,5,69,1,trusted_device,different_city,0
26.14,32.84,-6.7,3,88,0,trusted_device,same_city,0
1185.0,136.66,1048.34,10,356,1,emulated_device,different_city,1
378.27,424.5,-46.23,0,380,0,trusted_device,same_city,0
537.48,440.89,96.6,0,387,0,trusted_device,same_city,0
53.66,92.24,-38.58,8,251,0,trusted_device,same_city,0
64.33,58.55,5.77,9,1100,0,trusted_device,same_city,0
131.52,131.91,-0.39,8,2913,0,trusted_device,same_city,0
255.46,281.75,-26.29,2,770,0,trusted_device,same_city,0
73.76,77.92,-4.16,14,2567,0,trusted_device,same_city,0
146.75,131.18,15.57,0,106,0,trusted_device,same_city,0
66.98,61.58,5.4,6,2849,0,trusted_device,same_city,0
98.75,85.81,12.94,3,15,0,trusted_device,same_city,0
128.24,111.62,16.62,13,1125,0,trusted_device,same_city,0
180.55,172.7,7.85,0,471,1,trusted_device,same_city,0
75.21,78.43,-3.22,9,2735,0,trusted_device,same_city,0
538.81,502.12,36.69,3,664,0,trusted_device,same_city,0
135.69,128.0,7.7,8,2913,0,trusted_device,same_city,0
56.94,51.59,5.35,0,103,0,trusted_device,same_city,0
122.09,127.99,-5.9,8,2922,0,trusted_device,same_city,0
339.32,366.56,-27.23,4,441,1,trusted_device,different_city,0
392.73,397.86,-5.13,0,1276,0,trusted_device,same_city,0
96.0,113.35,-17.35,1,480,0,trusted_device,same_city,0
328.89,317.17,11.71,5,395,0,trusted_device,same_city,0
198.25,33.23,165.02,38,1660,1,trusted_device,different_city,1
86.99,86.76,0.23,12,2932,0,trusted_device,same_city,0
68.49,67.47,1.02,3,91,0,trusted_device,same_city,0
365.45,437.43,-71.98,1,363,0,trusted_device,same_city,0
157.97,221.86,-63.9,2,768,0,trusted_device,same_city,0
121.16,102.35,18.82,0,578,0,new_device,same_city,0
94.84,78.23,16.6,6,214,0,trusted_device,same_city,0
865.61,208.45,657.16,39,46,1,new_device,different_city,1
19.94,24.47,-4.53,6,1053,0,trusted_device,same_city,0
160.08,131.6,28.48,11,2555,0,trusted_device,same_city,0
209.12,201.51,7.61,1,337,0,trusted_device,different_city,0
122.93,130.26,-7.32,5,253,0,trusted_device,same_city,0
77.81,89.63,-11.81,8,1624,0,trusted_device,same_city,0
55.92,84.67,-28.75,11,1892,0,trusted_device,same_city,0
132.12,116.6,15.53,1,582,1,new_device,same_city,0
344.22,403.33,-59.12,3,898,0,trusted_device,same_city,0
2559.46,261.43,2298.03,48,720,1,new_device,same_city,1
167.0,298.33,-131.33,2,1040,0,trusted_device,same_city,0
41.29,59.27,-17.98,12,739,0,trusted_device,different_city,0
85.54,109.45,-23.91,4,25,1,trusted_device,different_city,0
45.57,47.87,-2.3,7,1310,0,trusted_device,same_city,0
120.14,129.16,-9.02,2,218,0,trusted_device,same_city,0
25.77,34.77,-9.01,1,45,1,trusted_device,different_city,0
99.9,140.49,-40.6,0,146,0,trusted_device,same_city,0
84.71,78.2,6.5,9,1772,0,trusted_device,same_city,0
48.17,42.02,6.15,11,2705,0,trusted_device,same_city,0
224.6,211.7,12.9,2,374,0,trusted_device,same_city,0
38.35,51.09,-12.74,4,53,0,new_device,same_city,0
343.86,47.66,296.2,39,81,1,new_device,different_city,1
91.01,81.02,9.99,9,2406,0,trusted_device,same_city,0
415.21,58.63,356.58,43,1386,1,emulated_device,different_city,1
66.13,67.29,-1.16,5,1214,0,trusted_device,same_city,0
155.86,147.89,7.97,0,677,0,trusted_device,different_city,0
88.3,79.88,8.41,0,385,0,trusted_device,same_city,0
64.15,84.04,-19.9,13,2938,0,trusted_device,same_city,0
43.8,40.52,3.27,2,82,0,trusted_device,same_city,0
110.35,96.46,13.89,4,286,0,trusted_device,different_city,0
276.61,205.46,71.15,3,329,1,trusted_device,same_city,0
96.47,88.91,7.56,10,2415,0,trusted_device,same_city,0
64.15,46.61,17.54,13,1053,0,new_device,same_city,0
3794.67,705.58,3089.09,23,185,1,emulated_device,different_city,1
75.37,84.38,-9.0,10,2406,0,trusted_device,same_city,0
51.9,48.2,3.71,5,951,0,trusted_device,same_city,0
25.8,36.45,-10.65,2,11,0,trusted_device,different_city,0
117.8,98.04,19.76,0,374,0,trusted_device,same_city,0
100.7,90.94,9.76,0,1128,0,trusted_device,same_city,0
98.05,96.55,1.49,18,755,0,trusted_device,same_city,0
27.28,25.53,1.76,4,87,1,trusted_device,same_city,0
462.02,68.05,393.97,49,1174,1,new_device,different_city,1
123.07,106.67,16.39,0,268,0,trusted_device,same_city,0
79.68,97.79,-18.12,17,2522,0,trusted_device,same_city,0
1098.21,117.87,980.34,54,460,1,new_device,different_city,1
599.12,89.28,509.84,40,48,1,new_device,same_city,1
130.06,108.03,22.03,2,161,0,trusted_device,same_city,0
124.42,164.42,-39.99,1,279,0,trusted_device,same_city,0
604.92,79.53,525.39,48,501,1,new_device,different_city,1
76.4,142.35,-65.95,1,50,0,trusted_device,same_city,0
85.08,55.05,30.03,0,46,1,trusted_device,same_city,0
71.83,80.69,-8.86,11,1894,0,trusted_device,different_city,0
54.89,38.87,16.03,6,28,1,trusted_device,same_city,0
128.92,111.46,17.46,18,1027,0,trusted_device,same_city,0
46.12,57.31,-11.19,9,1936,0,trusted_device,same_city,0
93.95,66.84,27.11,0,105,0,trusted_device,same_city,0
49.53,56.73,-7.2,17,1248,0,trusted_device,same_city,0
177.74,113.91,63.82,1,142,0,trusted_device,same_city,0
73.32,75.9,-2.59,6,1644,0,trusted_device,same_city,0
55.83,43.41,12.42,1,63,0,trusted_device,different_city,0
58.84,121.21,-62.36,0,81,0,trusted_device,same_city,0
36.99,94.69,-57.69,2,285,0,trusted_device,different_city,0
68.65,99.02,-30.37,2,430,0,trusted_device,same_city,0
47.54,41.91,5.62,15,801,0,trusted_device,same_city,0
161.2,130.27,30.93,4,1154,1,trusted_device,same_city,0
64.1,60.06,4.05,7,1351,0,trusted_device,same_city,0
35.35,32.24,3.11,2,162,0,trusted_device,same_city,0
139.8,162.38,-22.58,0,448,0,trusted_device,same_city,0
320.28,362.01,-41.74,1,346,0,trusted_device,same_city,0
110.54,95.0,15.54,19,749,0,trusted_device,same_city,0
214.43,260.51,-46.08,0,247,0,trusted_device,same_city,0
162.16,130.48,31.68,14,1673,0,trusted_device,same_city,0
194.39,211.69,-17.29,4,131,0,trusted_device,same_city,0
147.34,162.22,-14.88,0,283,0,new_device,different_city,0
73.0,71.24,1.76,12,1329,0,trusted_device,same_city,0
111.41,149.48,-38.07,3,299,0,trusted_device,same_city,0
110.34,134.98,-24.64,1,293,0,new_device,same_city,0
204.85,176.51,28.34,1,327,0,trusted_device,same_city,0
483.41,67.84,415.57,20,1502,1,new_device,same_city,1
100.64,114.36,-13.72,3,301,0,new_device,same_city,0
141.7,153.43,-11.73,8,416,0,trusted_device,same_city,0
